STRUCTURE,STRUCTURE_ID,freq,unit,icha11_hf,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_SHA11_HF(1.0),A,PPS_HAB,HF3,AT,2019,710.47,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),A,PPS_HAB,HF3,BE,2019,760.37,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),A,PPS_HAB,HF3,BG,2019,480.73,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),A,PPS_HAB,HF3,CH,2019,1243.82,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),A,PPS_HAB,HF3,CY,2019,667.03,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),A,PPS_HAB,HF3,CZ,2019,326.65,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),A,PPS_HAB,HF3,DE,2019,606.62,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),A,PPS_HAB,HF3,DK,2019,523.72,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),A,PPS_HAB,HF3,EE,2019,415.72,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),A,PPS_HAB,HF3,EL,2019,559.92,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),A,PPS_HAB,HF3,ES,2019,543.07,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),A,PPS_HAB,HF3,FI,2019,541.04,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),A,PPS_HAB,HF3,FR,2019,346.26,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),A,PPS_HAB,HF3,HR,2019,158.94,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),A,PPS_HAB,HF3,HU,2019,411.94,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),A,PPS_HAB,HF3,IE,2019,414.45,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),A,PPS_HAB,HF3,IS,2019,475.51,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),A,PPS_HAB,HF3,IT,2019,593.28,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),A,PPS_HAB,HF3,LT,2019,613.08,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),A,PPS_HAB,HF3,LU,2019,365.36,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),A,PPS_HAB,HF3,LV,2019,503.69,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),A,PPS_HAB,HF3,MT,2019,1004.33,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),A,PPS_HAB,HF3,NL,2019,422.37,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),A,PPS_HAB,HF3,NO,2019,638.53,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),A,PPS_HAB,HF3,PL,2019,317.69,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),A,PPS_HAB,HF3,PT,2019,698.91,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),A,PPS_HAB,HF3,RO,2019,246.61,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),A,PPS_HAB,HF3,SE,2019,525.26,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),A,PPS_HAB,HF3,SI,2019,266.14,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),A,PPS_HAB,HF3,SK,2019,287.10,
dataflow,ESTAT:HLTH_SHA11_HF(1.0),A,PPS_HAB,HF3,UK,2019,498.28,
